identifier,title,url,related,creativeWorkStatus,description
covenant,Contributor Covenant,https://www.contributor-covenant.org,https://www.contributor-covenant.org/faq,active,A very **widely-copied** CoC written purposefully for reuse by all projects; popular versions have been 2.0 and 1.4. 
todogroup,Open Code of Conduct,https://github.com/todogroup/opencodeofconduct,https://todogroup.org/blog/followup-open-code-of-conduct/,archived,"Written by the TODO Group, a consortia of technology companies, this is declared *outdated* but is still used by some projects."
python,Python Code of Conduct,https://www.python.org/psf/codeofconduct/,https://github.com/python/pycon-code-of-conduct/blob/master/code_of_conduct.md,active,"A short and high-level CoC that emphasizes positive behaviors: **Open, Considerate, Respectful**."
citizen,Citizen Code of Conduct,https://github.com/stumpsyn/policies/blob/master/citizen_code_of_conduct.md,https://citizencodeofconduct.org/,archived,"A detailed CoC including events, derived from both the Django CoC and the Geek Feminism one."
ubuntu,Ubuntu Code of Conduct,https://www.ubuntu.com/community/code-of-conduct,,active,A highly community-led focused CoC with detailed expectations of positive behaviors.
django,Django Code of Conduct,https://www.djangoproject.com/conduct/,,active,A medium-length CoC built on the *SpeakUp! CoC* with a moderate level of detail.
geekfeminism,Geek Feminism,https://geekfeminismdotorg.wordpress.com/about/code-of-conduct/,http://geekfeminism.wikia.com/wiki/Community_anti-harassment,archived,"A purposeful CoC for prioritizing diversity, with various guides and reviews of CoCs as well; credited to 'created by the Ada Initiative and other volunteers.'"
viewsource,View Source Code of Conduct,https://viewsourceconf.org/code-of-conduct/,,active,"CoC with the goal: to be inclusive to the largest number of participants, with the most varied and diverse backgrounds possible. From Mozilla."
speakup,Speak Up! Community Code of Conduct,https://web.archive.org/web/20141205224353/http://speakup.io:80/coc.html,,archived,"Widely cited but now-archived CoC, which cites original Fedora and Python Mentorship policies."
pythonmentors,Python Mentors Code of Conduct,https://web.archive.org/web/20141218014751/http://pythonmentors.com/,,archived,Basic CoC for mentors around the original Python Core Team.
ada,Ada Initiative Anti-Harassment,https://geekfeminism.fandom.com/wiki/Conference_anti-harassment/Policy,,archived,Detailed GeekFeminism CoC that explicitly credits 'created by the Ada Initiative and other volunteers'.
pycon,PyCon US Events Code of Conduct,https://github.com/python/pycon-code-of-conduct/blob/master/code_of_conduct.md,,active,"Master copy of PyCon CoC for all events; credits Covenant, Django, Rust, Citizen, and Affect Conf."
ottertech,Otter Tech CoC Procedures Template,https://github.com/sagesharp/code-of-conduct-template/,,active,Detailed template for CoC policies and procedures meant for easy re-use.
rust,Rust Language Code of Conduct,https://rust-lang.org/policies/code-of-conduct/,,active,Overall Rust language group CoC policies.